IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
fatto doloso;vorsätzlich handeln;Qualunque fatto doloso o colposo, che cagiona ad altri un danno ingiusto, obbliga colui che ha commesso il fatto a risarcire il danno.;
rimedio giuridico;Rechtsbehelf;In ogni caso i provvedimenti relativi ai sequestri per il procedimento penale sono assoggettati soltanto ai rimedi previsti dal codice.;
riserve occulte;still Rücklage;La vera ragione delle riserve occulte è che si vuole, con esse, tenere nascosta al pubblico la prosperità di cui gode la società [...].;"Übermäßige Dotierung der [stillen Rücklagen]ist Verstoß gegen das Prinzip der Bilzanzwahrheit und Bilanzklarheit, während ""normale stille Rücklagen"" der kaufmännischen Vorsicht (sog. Bilanzvorsicht) und dem im Handelsrecht verankerten Gläubigerschutz entsprechen."
fondo di riserva legale;Fond für der gesetzlich Reserve;Qualunque sia l'ammontare del fondo di riserva legale, deve essere a questa destinata almeno la quinta parte degli utili netti annuali.;
impresa di riassicurazione;Rückversicherungsunternehmung;Le imprese di riassicurazione limitano l’oggetto sociale all’esercizio della riassicurazione ed alle operazioni connesse o strumentali.;Es erscheint deshalb sinnvoll, die Koordinierung nicht auf die von der Richtlinie [...] erfassten Rechtsformen zu beschränken, sondern den Anwendungsbereich auf den [...] auszudehnen und darüber hinaus einige aus dem Anwendungsbereich dieser Richtlinien ausgeklammerte Unternehmen sowie Rückversicherungsunternehmen mit einzubeziehen.
giudice ordinario;ordentlich Gericht;La giurisdizione civile, salvo speciali disposizioni di legge, e' esercitata dai giudici ordinari secondo le norme del presente codice.;Ordentliche Gerichtsbarkeit ist die Gerichtsbarkeit der ordentlichen Gerichte [...].
minimo edittale;von Strafrahmen vorgesehen Mindeststrafe;Quando ritiene di emettere decreto di condanna, il pretore può applicare una pena diminuita sino alla metà rispetto al minimo edittale.;Steht dem Gläubiger ein Anspruch auf Schadensersatz wegen Nichterfüllung zu, so kann er die verwirkte Strafe als Mindestbetrag des Schadens verlangen. | Droht das Gesetz ein erhöhtes Mindestmaß der Freiheitsstrafe an, so bestimmt sich das Mindestmaß der Geldstrafe in den Fällen des Satzes 1 nach dem Mindestmaß der angedrohten Freiheitsstrafe [...].
luce artificiale;Kunstlicht;I luoghi di lavoro all'aperto devono essere opportunamente illuminati con luce artificiale quando la luce del giorno non è sufficiente.;Die Arbeitsstätten müssen möglichst ausreichend Tageslicht erhalten. Eine Beleuchtung mit Tageslicht ist der Beleuchtung mit ausschließlich künstlichem Licht vorzuziehen. | Generell gilt für die Beleuchtung fast aller Arbeitsplätze: so viel Tageslicht wie möglich. [...] Eine gesunde nachhaltige, energiebewusste, leistungsfördernde, altersgerechte und intelligente Beleuchtung heißt: systemergonomisches Lichtmanagement von Tages- und Kunstlicht am besten mit Tageslichtspektrumleuchten sowie einer individuellen altersgerechten Steuerung bzw. Arbeitsplatzleuchte.
stato passionale;Affekt;Gli stati emotivi e passionali, se [...] non influiscono sull'imputabilità, tuttavia, possono dar luogo a circostanze attenuanti [...].;"Bei Affekten - ""Höchstform der Erregung"" -, bei der ein besonnenes Abwägen von Gründen und Gegengründen nicht mehr stattfindet [...], stellt sich die Frage einer ""tiefgreifenden Bewußtseinsstörung"" vor allem bei sthenischen Affekten (Wut, Hass, usw.), u.U. auch bei auf Panik, Schrecken usw. beruhenden asthenischen Reaktionen."
riserva legale;gesetzlich Reserve;Qualunque sia l'ammontare del fondo di riserva legale, deve essere a questa destinata almeno la quinta parte degli utili netti annuali.;In der Bilanz des [...] aufzustellenden Jahresabschlusses ist eine gesetzliche Rücklage zu bilden.
dispositivo di segnalazione;Signaleinrichtung;Il disinserimento involontario dei dispositivi di avvertimento e di segnalazione deve essere reso impossibile in sede di fabbricazione.;Fahrzeuge mit Zusatzlenkung, deren Betätigung durch Mitgänger oder Mitfahrer erfolgt, müssen mit Signaleinrichtungen zur wechselseitigen Verständigung zwischen Mitgänger oder Mitfahrer und Fahrzeugführer ausgerüstet sein.
dispositivo di avvertimento;Warneinrichtung;Il disinserimento involontario dei dispositivi di avvertimento e di segnalazione deve essere reso impossibile in sede di fabbricazione.;Bei raumlufttechnischen Anlagen muss eine Störung durch eine selbsttätige Warneinrichtung angezeigt werden.
ransomware;Erpressungssoftware;Gli attori malevoli che diffondono il ransomware Egregor tendono […] a utilizzare diversi approcci per compromettere le reti aziendali.;Infektionsvektoren von Ransomware sind aktuell E-Mail-Anhänge oder Spam-Mails mit verlinkter Schadsoftware, sowie Schwachstellen in aus dem Internet erreichbaren Server-Systemen. | [Das] Netzwerk mit dem Namen Avalanche war eine der weltweit größten bekannten Botnetz-Infrastrukturen. In dieser konnten insgesamt 20 verschiedene Botnetze identifiziert werden, die die Infrastruktur zur Verbreitung von Spam- und Phishing-E-Mails sowie von Schadsoftware wie beispielsweise Ransomware (Erpressungstrojaner) oder Banking-Trojaner, nutzen. | Cyberangriffe mit Erpressungssoftware (sogenannte Ransomware) sind für Cyber-Kriminelle ein einträgliches Geschäftsmodell, das Unternehmen an den Rand ihrer Existenz bringen kann.
matrimonio tra persone dello stesso sesso;gleichgeschlechtlich Ehe;È legittimo il rifiuto dell'ufficiale di stato civile di procedere alla pubblicazione per un matrimonio tra persone dello stesso sesso.;Das Bundesverfassungsgericht hat in ständiger Rechtsprechung entschieden, daß die Ehe [...] die Vereinigung von Mann und Frau zu einer Lebensgemeinschaft ist [...]. Daraus folgt, daß aus dieser Grundrechtsnorm ein Recht auf Eingehung einer Ehe mit einem gleichgeschlechtlichen Partner nicht hergeleitet werden kann.
amnistia;Amnestie;L'amnistia e l'indulto devono essere applicati qualora il condannato ne faccia richiesta, anche se è terminata l'esecuzione della pena.;Eine Amnestie, die in einem Teilgebiet erlassen wird, muß, soweit dessen Recht auch unter Berücksichtigung des ordre public allein anzuwenden ist, in allen übrigen Landesteilen berücksichtigt werden.
coniuge;Gattin;Gli ascendenti, i discendenti e il coniuge immessi nel possesso temporaneo dei beni ritengono a loro profitto la totalità delle rendite.;Ein Ehegatte kann ein Kind seines Ehegatten allein annehmen. Er kann ein Kind auch dann allein annehmen, wenn der andere Ehegatte das Kind nicht annehmen kann, weil er geschäftsunfähig ist oder das 21. Lebensjahr noch nicht vollendet hat. | Beihilfe wird auch gewährt für Aufwendungen 1. der Ehegattin oder des Ehegatten, der Lebenspartnerin oder des Lebenspartners, die oder der kein zur wirtschaftlichen Selbständigkeit führendes Einkommen hat, [...].
possesso attuale;jetzig Besitz;Il possesso attuale non fa presumere il possesso anteriore, salvo che il possessore abbia un titolo a fondamento del suo possesso [...].;Der Kläger hat seinen früheren Besitz, den gegenwärtigen Besitz des Beklagten und dessen bösen Glauben zu beweisen.
Consiglio dei ministri;Bundesrat;Il Governo della Repubblica è composto del Presidente del Consiglio e dei Ministri, che costituiscono insieme il Consiglio dei ministri.;Durch Gesetz können die Bundesregierung, ein Bundesminister oder die Landesregierungen ermächtigt werden, Rechtsverordnungen zu erlassen. Dabei müssen Inhalt, Zweck und Ausmaß der erteilten Ermächtigung im Gesetze bestimmt werden.
riconoscimento;Anerkenntnis;La prescrizione è interrotta dal riconoscimento del diritto da parte di colui contro il quale il diritto stesso può essere fatto valere.;Zur Entstehung einer rechtsfähigen Stiftung sind das Stiftungsgeschäft und die Anerkennung durch die zuständige Behörde des Landes erforderlich, in dem die Stiftung ihren Sitz haben soll.
procedimento di esecuzione penale;Strafvollstreckungsverfahren;Il procedimento di esecuzione penale ha natura amministrativa nella fase non contenziosa e natura giurisdizionale in quella contenziosa.;
obbligazionista;Schuldverschreibungsinhaber;Ciascun obbligazionista può impugnare le deliberazioni che non sono prese in conformità della legge, a norma degli articoli 2377 e 2378.;Der Aussteller kann dem Inhaber der Schuldverschreibung nur solche Einwendungen entgegensetzen, welche die Gültigkeit der Ausstellung betreffen [...].
mandante;Mandant;"Il mandante può revocare il mandato; ma, se era stata pattuita l'irrevocabilità, risponde dei danni, salvo che ricorra una giusta causa.";Durch die Annahme eines Auftrags verpflichtet sich der Beauftragte, ein ihm vom Auftraggeber übertragenes Geschäft für diesen unentgeltlich zu besorgen.
tasso di conversione;Umrechnungskurs;Il bilancio può essere pubblicato, oltre che in lire, anche in ECU, al tasso di conversione della data di chiusura dell'esercizio [...].;Werden die Angaben im Jahresabschluß oder im Konzernabschluß außer in Deutscher Mark auch in Europäischer Währungseinheit gemacht, ist der am Bilanzstichtag gültige Umrechnungskurs zugrunde zu legen.
opera;Arbeitsleistung;La parte spettante al socio che ha conferito la propria opera, se non è determinata dal contratto, è fissata dal giudice secondo equità.;
dominio collettivo;Allmende;[L]a Repubblica riconosce i domini collettivi, comunque denominati, come ordinamento giuridico primario delle comunità originarie [...].;
convenzione di voto;Abstimmungsvereinbarung;Al sindacato di voto si ricorre, di regola, nelle ipotesi in cui nessun azionista è, da solo, in grado di controllare l'assemblea [...].;Abstimmungsvereinbarungen unter den Aktionären oder Dritten sind im Grundsatz zulässig.
corrente di contatto;Berührungsstrom;Le correnti di contatto costituiscono uno dei meccanismi di accoppiamento indiretto tra CEM [campi elettromagnetici] e soggetti esposti.;Wenn ein Beschäftigter einen geladenen Gegenstand berührt oder in Kontakt mit einem geerdeten Gegenstand kommt, während er selbst durch Exposition gegenüber einem statischen elektrischen Feld oder Reibungselektrizität geladen ist, fließt ein Kontaktstrom.
equo compenso;billig Vergütung;Il giudice nel pronunciare la rescissione, può, secondo le circostanze, assegnare un equo compenso all'altra parte per l'opera prestata.;Hat der Urheber das Vermietrecht (§ 17) an einem Bild- oder Tonträger dem Tonträger- oder Filmhersteller eingeräumt, so hat der Vermieter gleichwohl dem Urheber eine angemessene Vergütung für die Vermietung zu zahlen.
disconoscimento di paternità;Vaterschaftsanfechtung;L'azione per il disconoscimento di paternità da parte della madre deve essere proposta nel termine di sei mesi dalla nascita del figlio.;"Das Land Baden-Württemberg hat im Jahre 2005 dem Bundesrat den ""Entwurf eines Gesetzes zum Schutz der Persönlichkeitsrechte bei Abstammungsuntersuchungen"" zugeleitet [...]. Nach diesem Entwurf soll § 1600 BGB ein Absatz 5 hinzugefügt werden, nach dem es einer anfechtungsberechtigten Person [...] erlaubt sein soll, ohne Einwilligung des betroffenen Kindes und seiner Mutter zur Vorbereitung einer Anfechtung der Vaterschaft eine genetische Untersuchung durchführen zu lassen und zu diesem Zwecke Proben vom Kind zu gewinnen [...]."
stress mentale;mental Belastung;"La norma [UNI EN ISO 10075-1] sottolinea che ""qualsiasi attività, anche quella a prevalente impegno fisico, può indurre stress mentale"".";Werden die Voraussetzungen des einzelnen Menschen [...] über- oder unterfordert [...], so führt psychische Belastung zu Fehlbeanspruchung. Diese kann sich beim Beschäftigten so auswirken, dass er seine Arbeit öde findet, schnell ermüdet, sich nicht mehr konzentrieren kann, wichtige Signale nicht mehr wahrnimmt. | Obwohl es weiterhin körperlich belastende Arbeitsplätze gibt, ist ihre Anzahl in unserer Dienstleistungs- und Informationsgesellschaft vergleichsweise abnehmend gegenüber dem immer umfangreicher werdenden Anteil von Arbeitsplätzen mit eher körperlicher Inaktivität und wachsender mentaler Belastung – als charakteristisches Beispiel: die Bildschirm- und Büroarbeitsplätze.
sottrazione;Wegnahme;La sottrazione non è punibile se viene commesso su cose fungibili, se il valore di esse non eccede la quota spettante a chi fa l'azione.;Die Wegnahme kann vollendet sein schon beim Verstecken in den Räumen des Bestohlenen, desgleichen beim Verbergen des in einem Warenhaus Gestohlenen unter der eigenen Kleidung, selbst wenn der Bestohlene den Diebstahl beobachtet hat.
tempo;Zeitraum;L'usufruttuario può cedere il proprio diritto per un certo tempo o per tutta la sua durata, se ciò non è vietato dal titolo costitutivo.;Die Verjährung von Ansprüchen des Kindes gegen den Beistand ist während der Dauer der Beistandschaft gehemmt. | Sofern sich die Mehraufwendungen innerhalb eines angemessenen 8 Zeitraums - der bei Maßnahmen der hier in Rede stehenden Art in der Regel zehn Jahre beträgt - amortisieren, hielten sich die Maßnahmen noch im Rahmen der modernisierenden Instandsetzung [...].
temperatura ambientale;Raumtemperatur;[Nella f]ase d’incendio generalizzato […] la temperatura ambientale tende all’uniformità e raggiunge valori compresi fra 500 °C e 600 °C.;Die erste Phase [eines Brandes] ist der Initial- oder Schwelbrand, wobei die Dauer abhängig von der Sauerstoffkonzentration ist. Die zweite Phase ist ein lokaler Brand, der die Luft in einem Raum sehr stark aufheizt. In der dritten Phase überschreitet die Raumtemperatur die Zündtemperatur von den brennbaren Materialien, die in dem Raum vorhanden sind und es kommt zu einer explosiven Brandausbreitung.
opinione;Meinung;Tutti i giudici enunciano le ragioni della loro opinione e votano su ciascuna questione qualunque sia stato il voto espresso sulle altre.;Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.
possesso anteriore;früh Besitz;"Il possesso attuale non fa presumere il possesso anteriore, salvo che il possessore abbia un titolo a fondamento del suo possesso; [...].";In der Mitte zwischen dem Anspruch des Besitzers aus verbotener Eigenmacht und dem Anspruch des Eigentümers auf Herausgabe steht der Anspruch aus früherem Besitz, den das BGB in Anlehnung an das germanische Recht und in Erweiterung der actio Publicana des römischen Rechtes, aber nur für bewegliche Sachen, gewährt [...].
lavoro notturno;Nachtarbeit;Il lavoro notturno non compreso in regolari turni periodici deve essere [...] retribuito con una maggiorazione rispetto al lavoro diurno.;Der Arbeitgeber hat den Nachtarbeitnehmer auf dessen Verlangen auf einen für ihn geeigneten Tagesarbeitsplatz umzusetzen, wenn [...] nach arbeitsmedizinischer Feststellung die weitere Verrichtung von Nachtarbeit den Arbeitnehmer in seiner Gesundheit gefährdet [...].
costo di acquisto;Anschaffungskosten;Nelle valutazioni devono essere osservati i seguentzi criteri: 1) le immobilizzazioni sono iscritte al costo di acquisto o di produzione.;Vermögensgegenstände (Wirtschaftsgüter) werden in der Handels- und Steuerbilanz grundsätzlich mit den AK oder HK bewertet.
radiazione;Strahlung;Quando si parla a livello lavorativo delle radiazioni, spesso si fa riferimento all’esposizione a radiazioni ionizzanti e non ionizzanti.;[A]n Arbeitsplätzen kann Strahlung auf Beschäftigte einwirken, sei es, dass Strahlung in einem Arbeitsverfahren gezielt eingesetzt wird, sei es, dass Strahlung bei Arbeitsprozessen unerwünscht auftritt.
foro esclusivo;ausschliesslich Gerichtsstand;[A]nche il foro esclusivo è, almeno di regola ed in assenza di una diversa previsione di legge, derogabile per accordo delle parti [...].;
capo dello Stato;Staatsoberhaupt;Lo scioglimento dell'istituto è disposto con decreto del Capo dello Stato su proposta del Ministro per il lavoro e la previdenza sociale.;
giurisdizione penale;Gerichtsbarkeit in Strafsache;La giurisdizione penale è esercitata dai giudici previsti dalle leggi di ordinamento giudiziario [...] secondo le norme di questo codice.;Die deutsche Strafgerichtsbarkeit besteht grundsätzlich für alle Taten, die der deutschen Strafgewalt unterliegen. Wenn dies der Fall ist, wird vom Internationalen Strafrecht bestimmt.
attività assicurativa;Versicherungstätigkeit;Sono soggetti all'obbligo dell'iscrizione nel registro delle imprese gli imprenditori che esercitano un'attività bancaria o assicurativa.;Eine in einem Vertragsstaat ansässige Person, die Einkünfte aus dem anderen Vertragsstaat bezieht, kann im anderen Vertragsstaat nur dann alle Vergünstigungen nach diesem Abkommen beanspruchen, wenn diese Person [...] im erstgenannten Vertragsstaat aktiv gewerblich tätig ist (außer wenn das Gewerbe in der Platzierung oder Verwaltung von Kapitalanlagen besteht, es sei denn, es handelt sich bei dieser Tätigkeit um Bank- oder Versicherungstätigkeiten einer Bank oder Versicherungsgesellschaft) und die aus dem anderen Vertragsstaat bezogenen Einkünfte im Zusammenhang mit dieser gewerblichen Tätigkeit bezogen werden oder aus Anlass dieser Tätigkeit anfallen.
società a responsabilità limitata unipersonale;Gesellschaft mit beschränkt Haftung mit ein alleinig Gesellschafter;[A]nche la società a responsabilità limitata unipersonale può esercitare l'attività artigiana se il socio unico presenta detti requisiti.;
crampo da calore;Hitzekrampf;Il crampo da calore, l'esaurimento da calore ed il colpo di calore sono tutte situazioni causate da un[']eccessiva esposizione al calore.;Hitze am Arbeitsplatz kann zur Belastung des Herz-Kreislauf-Systems, der Atemwege und des Wasser- und Elektrolythaushalts führen. Im extremen Fall können Hitzekrankheiten wie Hitzekrämpfe, Hitzekollaps und Hitzschlag ausgelöst werden.
giudice dell'impugnazione;Rechtsmittelgericht;Al giudice della impugnazione sono trasmessi senza ritardo il provvedimento impugnato, l'atto di impugnazione e gli atti del procedimento.;Der Beitritt des Nebenintervenienten erfolgt durch Einreichung eines Schriftsatzes bei dem Prozessgericht und, wenn er mit der Einlegung eines Rechtsmittels verbunden wird, durch Einreichung eines Schriftsatzes bei dem Rechtsmittelgericht. [...].
principio dispositivo;Dispositionsmaxime;In virtù del principio dispositivo, il giudice non può rimediare con proprio provvedimento istruttorio alle lacune probatorie delle parti.;Wesentliche Prozeßgrundsätze. 1. Parteiherrschaft. Sie umfaßt: [...] Dispositionmaxime (Verfügungsgrundsatz) [...]. Sie betrifft die Verfügungsfreiheit der Parteien über den Streitgegenstand und damit über den Gang und Inhalt des Verfahrens. | Das Gegenstück zum Dispositionsgrundsatz bildet die Offizialmaxime, nach der die Einleitung eines Verfahrens von Amts wegen erfolgt.
causa pendente;anhängig Rechtsstreit;La competenza degli arbitri non è esclusa dalla connessione tra la controversia ad essi deferita ed una causa pendente dinanzi al giudice.;
capitale assicurato;Versicherungssumme;Il capitale assicurato non è soggetto a pignoramento o sequestro ed è escluso dall'asse ereditario e dal reddito imponibile ai fini Irpef.;Ergibt sich, daß die Versicherungssumme den Wert des versicherten Interesses (Versicherungswert) erheblich übersteigt, so kann sowohl der Versicherer als auch der Versicherungsnehmer verlangen, daß zur Beseitigung der Überversicherung die Versicherungssumme, unter verhältnismäßiger Minderung der Prämie mit sofortiger Wirkung, herabgesetzt wird.
cognome comune;gemeinsam Nachname;La parte può anteporre o posporre al cognome comune il proprio cognome, se diverso, facendone dichiarazione all'ufficiale di stato civile.;Die Lebenspartner können einen gemeinsamen Namen (Lebenspartnerschaftsnamen) bestimmen. Zu ihrem Lebenspartnerschaftsnamen können die Lebenspartner [...] den Geburtsnamen oder den zur Zeit der Erklärung über die Bestimmung des Lebenspartnerschaftsnamens geführten Namen eines der Lebenspartner bestimmen.
indulto;Erlass der Strafe;Nel concorso di più reati, l'indulto si applica una sola volta, dopo cumulate le pene, secondo le norme concernenti il concorso dei reati.;Der Widerruf der Aussetzung, der Erlaß der Strafe, der Widerruf des Erlasses, die Verurteilung zu der vorbehaltenen Strafe und die Feststellung, daß es bei der Verwarnung sein Bewenden hat, können mit sofortiger Beschwerde angefochten werden.
ente concedente;Konzessionsgeber;La durata delle concessioni è limitata ed è determinata dall’ente concedente in funzione dei lavori o servizi richiesti al concessionario.;Die Laufzeit von Konzessionen ist beschränkt. Der Konzessionsgeber schätzt die Laufzeit je nach den geforderten Bau- oder Dienstleistungen.
pubblica insegna onorifica;Würdebezeichnung;Alla stessa pena [multa da lire duecentomila a due milioni] soggiace chi si arroga [...] decorazioni o altre pubbliche insegne onorifiche.;Diese Verordnung [§ 132 a Absatz 3] steht im Gegensatz zur grundgesetzlich garantierten Religionsfreiheit, jedoch beschneidet sie die Religionsfreiheit des Einzelnen, indem bestimmte Würdenbezeichnungen der deutschen Sprache, die eindeutig im Zusammenhang mit religiöser Handlung zu sehen sind und nur einigen wenigen Personen der sog. Amtskirchen und Religionsgesellschaften des öffentlichen Rechts vorbehalten bleiben.
tutore;Vormund;Il giudice tutelare, appena avuta notizia del fatto da cui deriva l'apertura della tutela, procede alla nomina del tutore e del protutore.;"Das Familiengericht hat den leiblichen Eltern die elterliche Sorge zurückzuübertragen, wenn und soweit dies dem Wohl des Kindes nicht widerspricht; andernfalls bestellt es einen Vormund oder Pfleger."
acqua nebulizzata;Wasser-Nebel;Gli estintori ad acqua nebulizzata, che sottraggono calore alle fiamme per evaporazione, sono molto efficaci solo con combustibili solidi.;
a tempo indeterminato;unbefristet;In caso di assunzione a tempo indeterminato, con prestazione a tempo parziale, l'importo sarà proporzionato alla durata della prestazione.;"Vergleichbar ist ein unbefristet beschäftigter Arbeitnehmer des Betriebes mit der gleichen oder einer ähnlichen Tätigkeit. Gibt es im Betrieb keinen vergleichbaren unbefristet beschäftigten Arbeitnehmer, so ist der vergleichbare unbefristet beschäftigte Arbeitnehmer auf Grund des anwendbaren Tarifvertrages zu bestimmen; [...]."
premio netto;Nettoprämie;Il premio imponibile comprende il premio netto più gli accessori di polizza, cioè i costi di emissione ed amministrazione della compagnia.;Die Schadenquote berechnet sich aus dem Verhältnis der bezahlten Schäden (abzüglich erzielter Regreßerlöse) zur bezahlten Nettoprämie (ohne Versicherungssteuer und ohne politische Risiken).
fatto illecito;rechtswidrig Tat;Le disposizioni precedenti si applicano anche quando la causa preesistente o simultanea o sopravvenuta consiste nel fatto illecito altrui.;
diritti civili;bürgerlich Grundrecht;Può essere eletto Presidente della Repubblica ogni cittadino che abbia compiuto cinquanta anni d'età e goda dei diritti civili e politici.;Der Genuß bürgerlicher und staatsbürgerlicher Rechte, die Zulassung zu öffentlichen Ämtern sowie die im öffentlichen Dienste erworbenen Rechte sind unabhängig von dem religiösen Bekenntnis. | Die Bürgerrechte gehören neben den Menschenrechten zu den Grundrechten, die in der Bundesrepublik im Grundgesetz festgeschrieben sind.
residenza;Wohnsitz;Il trasferimento della residenza non può essere opposto ai terzi di buona fede, se non è stato denunciato nei modi prescritti dalla legge.;Der Wohnsitz kann gleichzeitig an mehreren Orten bestehen.
fondazione;Stiftung;Le associazioni e le fondazioni devono essere costituite con atto pubblico. [...]. La fondazione può essere disposta anche con testamento.;Zur Entstehung einer rechtsfähigen Stiftung sind das Stiftungsgeschäft und die Anerkennung durch die zuständige Behörde des Landes erforderlich, in dem die Stiftung ihren Sitz haben soll.
retribuzione tabellare;Tariflohn;La retribuzione tabellare è determinata su base oraria in relazione alla durata normale annua della prestazione di lavoro espressa in ore.;"[G]rundsätzlich gilt der Tariflohn für vergleichbare Beschäftigungen in vergleichbaren Betrieben als Richtschnur; von ihm ist aber bei Vorliegen entsprechender Anhaltspunkte nach oben oder unten abzuweichen."
corte;Gerichtshof;La dichiarazione di astensione è presentata al presidente della corte o del tribunale che decide con decreto senza formalità di procedura.;
contributo figurativo;Ersatzbeitrag;I contributi figurativi sono computabili a tutti gli effetti ai fini della determinazione sia del diritto sia della misura della pensione.;Anrechnungszeiten sind Zeiten, in denen Versicherte 1. wegen Krankheit arbeitsunfähig gewesen sind oder Leistungen zur medizinischen Rehabilitation oder zur Teilhabe am Arbeitsleben erhalten haben, 1a. nach dem vollendeten 17. und vor dem vollendeten 25. Lebensjahr mindestens einen Kalendermonat krank gewesen sind, soweit die Zeiten nicht mit anderen rentenrechtlichen Zeiten belegt sind, 2. wegen Schwangerschaft oder Mutterschaft während der Schutzfristen nach dem Mutterschutzgesetz eine versicherte Beschäftigung oder selbständige Tätigkeit nicht ausgeübt haben, [...].
territorio estero;Ausland;"Nei casi indicati dai due articoli precedenti [CP 291; 292] la pena è aumentata se il fatto è commesso dal cittadino in territorio estero.";Das deutsche Strafrecht gilt für Taten, die im Ausland gegen einen Deutschen begangen werden, wenn die Tat am Tatort mit Strafe bedroht ist oder der Tatort keiner Strafgewalt unterliegt.
esercitazione di guida;Übungsfahrt;"Gli autoveicoli per le esercitazioni e gli esami di guida devono essere muniti di appositi contrassegni recanti la lettera alfabetica ""P"".";"Wer die Fahrstunde verpasst und dem Fahrlehrer nicht abgesagt hat, befindet sich in Verzug mit der Annahme der Leistung. Nach § 615 Abs. 1 Bürgerliches Gesetzbuch (BGB) kann der Fahrlehrer in einem solchen Fall grundsätzlich volle Vergütung für die nutzlos vertane Zeit verlangen und ist selbst zur Nachholung der Fahrstunde nicht verpflichtet. | Der Fahrlehrer darf täglich nur so lange praktischen Fahrunterricht erteilen, wie er in der Lage ist, die Verantwortung für die Ausbildungsfahrt zu übernehmen und den Fahrschüler sachgerecht zu unterrichten. Die tägliche Gesamtdauer des praktischen Fahrunterrichts einschließlich der Prüfungsfahrten […] darf 495 Minuten nicht überschreiten; sie muß durch Pausen von ausreichender Dauer unterbrochen sein. […]. | Der praktische Unterricht ist auf die theoretische Ausbildung zu beziehen und inhaltlich mit dieser zu verzahnen. Er hat sich an den [...] Inhalten zu orientieren und die praktische Anwendung der Kenntnisse einzubeziehen, die zur Beurteilung der Verkehrs- und Betriebssicherheit des Fahrzeuges erforderlich sind. Er ist systematisch aufzubauen. Der praktische Unterricht besteht aus einer Grundausbildung und besonderen Ausbildungsfahrten. […]."
procedimento d'impugnazione;Rechtsmittelverfahren;Le sentenze interlocutorie sono impugnabili a norma della legge precedente, ma il procedimento d'impugnazione è regolato dal codice [...].;Die Kosten des Rechtsmittelverfahrens sind der obsiegenden Partei ganz oder teilweise aufzuerlegen, wenn sie auf Grund eines neuen Vorbringens obsiegt, das sie in einem früheren Rechtszug geltend zu machen imstande war.
falso in prospetto;Verletzung der Ad-hoc-Publizitätspflicht;La riforma della disciplina penale delle società commerciali e delle materie connesse è ispirata a [prevedere il] falso in prospetto [...].;
Legge Fondamentale;Grundgesetz;La Costituzione dovrà essere fedelmente osservata come Legge fondamentale della Repubblica da tutti i cittadini e dagli organi dello Stato.;Das demokratische Prinzip des Grundgesetzes schließt daher Ausländer vom Wahlrecht und von den staatsleitenden, politischen Ämtern aus.
categoria di azioni;Aktienkategorie;Si possono tuttavia creare categorie di azioni fornite di diritti diversi, con l'atto costitutivo o con successive modificazioni di questo.;
macroclima;Makroklima;[U]n’esposizione ad un macroclima sfavorevole può comportare danni a carico degli apparati respiratori, osteo-articolari e cardiovascolari.;In der Arbeitswelt wird zwischen dem Klima in Räumen (Raumklima) und dem Klima beim Arbeiten im Freien (Außenklima) unterschieden.
applicazione uniforme;einheitlich Anwendung;Nell'interpretazione di tali convenzioni si terrà conto del loro carattere internazionale e dell'esigenza della loro applicazione uniforme.;"Die  Frage, nach welchen Maßstäben die Unzumutbarkeit zu beurteilen ist, wenn eine juristische Person ""Verpflichteter"" im Sinne von § 15  BSHG  ist, ist in Rechtsprechung des Bundesverwaltungsgerichts noch nicht geklärt und bedarf für eine einheitliche Anwendung des Rechts der  Klärung."
introito;Einnahme;Sono entrate dell'azienda oltre a quelle previste dall'art. 13 della legge ogni altro provento o introito connesso alla gestione aziendale.;
rifiuto di dare le proprie generalità;Verweigerung der Angabe der Personalie;Se il soggetto non rifiuta di dare le proprie generalità, ma le dà false, egli risponderà nel delitto più grave previsto dall'art. 495 c.p.;Es verstößt gegen Art. 2 Abs. 1 GG, wenn die Verweigerung der Angabe der Personalien nach § 111 OWiG geahndet wird, ohne daß zuvor die Rechtmäßigkeit der Aufforderung in vollem Umfang überprüft worden ist.
assegno non trasferibile;Rektascheck;Colui che paga un assegno non trasferibile a persona diversa dal prenditore o dal banchiere giratario per l'incasso risponde del pagamento.;Für die Weiterübertragung des Schecks ist von Bedeutung, ob es sich um einen Rektascheck, einen Orderscheck oder einen Inhaberscheck handelt.
recesso;Rücktritt;Nei contratti a esecuzione continuata o periodica [...] il recesso non ha effetto per le prestazioni già eseguite o in corso di esecuzione.;Hat sich in einem Vertrag ein Teil den Rücktritt vorbehalten, so sind die Parteien, wenn der Rücktritt erfolgt, verpflichtet, einander die empfangenen Leistungen zurückzugewähren.
